0x2d66427c0614b703efaa3da4efd97fe05de11bf3.sol,0.6.5,PieDAOPieTokenAdapter
0x3e0de81e212eb9eccd23bb3a9b0e1fac6c8170fc.sol,0.4.24,Aggregator
0xb535279f41fc8a9445ec21cb33ee8d68976d17a0.sol,0.4.24,Hittretix
0x65525415669c1bb2d1f55f51cc0ac7b57a68e9ce.sol,0.5.0,Dukat
0x19ad62792135c4407bf18db41ef1911c540671d8.sol,0.5.0,GAMTToken
0x65559563a65e2c2039ba664a4b901ed76a8cfd53.sol,0.5.16,DErc20Delegator
0x8738391c5a2b79e067b5f9ea6cf97b3243543df1.sol,0.4.25,OracleRateApprover
0x9a2ba252ee35893d9da03ea1cce4d7a2e190165a.sol,0.4.25,AirDrop
0x1D415aa39D647834786EB9B5a333A50e9935b796.sol,0.5.0,AddressConfig
0x56bb6f961f2cb9947fea063df1a42c2233487903.sol,0.4.25,TAPSPAY
